TIME                TIMESTEP            PRHO                VFRAC               SIG11               SIG22               SIG33               SIG12               SIG23               SIG13               DSIGDT11            DSIGDT22            DSIGDT33            DSIGDT12            DSIGDT23            DSIGDT13            STRAIN11            STRAIN22            STRAIN33            STRAIN12            STRAIN23            STRAIN13            F11                 F12                 F13                 F21                 F22                 F23                 F31                 F32                 F33                 D11                 D22                 D33                 D12                 D23                 D13                 W11                 W12                 W13                 W21                 W22                 W23                 W31                 W32                 W33                 EQVEPS              PRESSURE            GAM                 GAMNL               EPV                 DAM                 BSIG11              BSIG22              BSIG33              BSIG12              BSIG23              BSIG13              ENRGY               TMPR                RHO                 R                   Z                   YLD                 FREE01              FREE02              FREE03              FREE04              FREE05              
0.0000000000E+00    0.0000000000E+00    1.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.1495447355E-298   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
1.0000000000E-03    1.0000000000E-03    9.9999960000E-01    1.0000000000E+00    1.6439826666E+05    -7.2759576142E-12   -7.2759576142E-12   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826666E+08    -7.2759576142E-09   -7.2759576142E-09   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999999996E-07    -3.0000210864E-07   -3.0000210864E-07   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000010000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999970000E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999970000E-01    1.0000000000E-03    -3.0000210868E-04   -3.0000210868E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    8.8694326399E-07    -5.4799422221E+04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9221371700E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    1.3423062264E+05    9.4915383513E+04    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
2.0000000000E-03    1.0000000000E-03    9.9999920001E-01    1.0000000000E+00    3.2879653333E+05    1.4551915228E-11    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826667E+08    2.1827872843E-08    7.2759576142E-09    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    2.0000000000E-06    -6.0000421735E-07   -6.0000421735E-07   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000020000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999940000E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999940000E-01    1.0000000000E-03    -3.0000210869E-04   -3.0000210869E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.7738865281E-06    -1.0959884444E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9062183605E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    2.6846124529E+05    1.8983076703E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
3.0000000000E-03    1.0000000000E-03    9.9999880001E-01    1.0000000000E+00    4.9319480000E+05    -7.2759576142E-12   -7.2759576142E-12   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826666E+08    -2.1827872843E-08   -7.2759576142E-09   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    2.9999999999E-06    -9.0000632602E-07   -9.0000632602E-07   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000030000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999909999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999909999E-01    9.9999999999E-04    -3.0000210868E-04   -3.0000210868E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    2.6608297920E-06    -1.6439826667E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9185605376E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    4.0269186793E+05    2.8474615054E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
4.0000000000E-03    1.0000000000E-03    9.9999840002E-01    1.0000000000E+00    6.5759306667E+05    7.2759576142E-12    7.2759576142E-12    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826668E+08    1.4551915228E-08    1.4551915228E-08    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.0000000001E-06    -1.2000084348E-06   -1.2000084348E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000040000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999879999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999879999E-01    1.0000000001E-03    -3.0000210870E-04   -3.0000210870E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    3.5477730563E-06    -2.1919768889E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9160660507E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    5.3692249058E+05    3.7966153406E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
5.0000000000E-03    1.0000000000E-03    9.9999800002E-01    1.0000000000E+00    8.2199133331E+05    7.2759576142E-12    7.2759576142E-12    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826664E+08    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9999999998E-06    -1.5000105434E-06   -1.5000105434E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000050000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999849999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999849999E-01    9.9999999985E-04    -3.0000210864E-04   -3.0000210864E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.4347163200E-06    -2.7399711110E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9185605376E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    6.7115311320E+05    4.7457691756E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
6.0000000000E-03    1.0000000000E-03    9.9999760003E-01    1.0000000000E+00    9.8638960001E+05    7.2759576142E-12    7.2759576142E-12    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826670E+08    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    6.0000000000E-06    -1.8000126521E-06   -1.8000126521E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000060000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999819999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999819999E-01    1.0000000002E-03    -3.0000210874E-04   -3.0000210874E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    5.3216595842E-06    -3.2879653334E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9171220916E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    8.0538373587E+05    5.6949230109E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
7.0000000000E-03    1.0000000000E-03    9.9999720003E-01    1.0000000000E+00    1.1507878667E+06    7.2759576142E-12    7.2759576142E-12    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826667E+08    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    7.0000000000E-06    -2.1000147609E-06   -2.1000147609E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000070000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999789999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999789999E-01    1.0000000000E-03    -3.0000210869E-04   -3.0000210869E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    6.2086028483E-06    -3.8359595556E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9166831610E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    9.3961435852E+05    6.6440768461E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
8.0000000000E-03    1.0000000000E-03    9.9999680004E-01    1.0000000000E+00    1.3151861333E+06    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826667E+08    -7.2759576142E-09   -7.2759576142E-09   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    7.9999999999E-06    -2.4000168695E-06   -2.4000168695E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000080000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999759999E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999759999E-01    1.0000000000E-03    -3.0000210868E-04   -3.0000210868E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    7.0955461122E-06    -4.3839537778E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    4.9089605902E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    1.0738449812E+06    7.5932306812E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
9.0000000000E-03    1.0000000000E-03    9.9999640004E-01    1.0000000000E+00    1.4795844000E+06    7.2759576142E-12    7.2759576142E-12    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.6439826668E+08    7.2759576142E-09    7.2759576142E-09    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.0000000001E-06    -2.7000189782E-06   -2.7000189782E-06   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    1.0000090000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999729998E-01    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    9.9999729998E-01    1.0000000001E-03    -3.0000210872E-04   -3.0000210872E-04   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    7.9824893764E-06    -4.9319480001E+05   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    5.7714548446E-305   0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    NAN                 2.9800000000E+02    0.0000000000E+00    1.2080756038E+06    8.5423845165E+05    0.0000000000E+00    1.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00    
